SHINBI WEBサイトにて紹介されている就職サポートは主に4つ存在する、個別面談、企業説明会、面接対策、残り一つはどれ？,就活指導,就職指導,第二印象,就活指導,
Java・Webプログラミング科で習得できると紹介されている資格はJavaプログラミング能力認定試験2級ともう一つあるが、それは次のうちどれ？,基本情報技術者,WEBクリエーター能力認定試験,ITパスポート,WEBクリエーター能力認定試験,
SHINBIデザインスクールの1番近くにあるドラッグストアの名前は？,ツルハ,スギ薬局,マツモトキヨシ,ツルハ,
SHINBIデザインスクールのプログラミングの先生の人数は？,5,10,6,5,いっしーが数えました
SHINBIデザインスクールにある部活の数は？,5,7,3,5,いっしーが数えました
SHINBIデザインスクールの教室の数は？,4,3,6,6,いっしーが数えました
臼井先生の下の名前は？,八千代,美千代,美咲,美千代,
SHINBIデザインスクールの校長の苗字は？,佐藤,床井,小野,床井,
SHINBIのHPにて、SHINBIは何をサポートする職業訓練校と記載している？,愛,希望,夢,夢,
田中先生のももクロの最推しといえば？,夏菜子,彩夏,詩織,夏菜子,結婚おめでとうございます。田中先生は複雑な気持ちだそうです
田中先生が担当している部活の名前を答えは？,ダンス部,発表部,スピーチ部,スピーチ部,みんな参加しよう！！
三大ホルモンのうち主に目標達成の時に多く出るとされているホルモンはどれ？,オキシトシン,ドーパミン,セロトニン,ドーパミン,
ちとせ先生がおっしゃっていた「ビジネスとは〇〇だ」〇〇に入る言葉は？,戦略,価値提供,印象戦略,価値提供,
毎週火曜日「パンの日」に来るパン屋さんの名前は？,konomi,kokomi,kinomi,konomi,売り切れる前にいそげ！！
マラソンの距離は最初40kmでした。それが42.195kmになった理由は次のどれ？,初代優勝者の体重,距離を測り間違えていた,王女のわがまま,王女のわがまま,1908年、第4回ロンドンオリンピックのとき、当時の王女アレキサンドラが、自分の都合のいい場所にスタートとゴールを決めた
八月の別名は？,如月,葉月,長月,葉月,一般的には、木の葉の紅葉が進み、葉が落ちる月、「葉落ち月（はおちづき）」が略されたものといわれています
100円硬貨に描かれている花は？(令和6年4月現在),梅,桜,ユリ,桜,日本の国花である山桜（ヤマザクラ）が描かれています
次の中で実際にある数学用語は？,セクシー素数,ダンディー素数,ハンサム素数,セクシー素数,ラテン語で6（six）を意味する「sex」に由来しています
選挙権があるのは何歳から？,16歳,18歳,20歳,18歳,平成28年に選挙権年齢が「満18歳以上」に引き下げられました
次のうち春の七草でないのはどれ？,ハギ,ゴギョウ,スズシロ,ハギ,ハギは秋の七草です
バレーボールを漢字で書くと？,排球,配球,庭球,排球,漫画「ハイキュー！！」はここからきています
2024年現在、金メダルはどんな素材でできている？,金,銀,銅,銀,少なくとも6gの純金で金張り、銀メダルは少なくとも純度1000分の925を保つ事と定められています。
食パンの正式名称は何でしょう？,食事パン,主食用パン,朝食パン,主食用パン,別名を「本食（ほんしょく）パン」とも呼ばれ、パン職人の間では「本食」と略される場合もある。
氷を電子レンジで温めるとどうなるでしょう？,溶けて水になる,蒸発してなくなる,氷のまま,氷のまま,水は氷に比べて、約8000倍も加熱されやすいため固く凍っている氷は、電子レンジに入れても加熱されにくく、とけにくい
ショートケーキの日は毎月何日？,8日,15日,22日,22日, カレンダー上で22日の上は必ず15日(いちご)がのっているので、「ショートケーキの日」といわれています
パソコンのマウスの移動距離を表す単位は？,ミッキー,ミニー,ジェリー,ミッキー,マイクロソフト社で開発担当者が「ミッキーマウス」にちなんで、ジョークとして名付けたという説が有力とのことです
本能寺の変で部下に打ち取られたとされる人物は？,織田信長,明智光秀,豊臣秀吉,織田信長,明智光秀の謀反により本能寺で切腹したとされています
北海道の次に面積の大きい都道府県は？,長野県,岩手県,福島県,岩手県,2位は岩手県 3位は福島県です
三角形の内角の和は？,180°,270°,360°,180°,どんな三角形でも、3つの角の大きさの和は180°です
99歳のお祝いのことを何という？,米寿,白寿,傘寿,白寿,百という漢字から一を引くと白という漢字になることから。テーマカラーは白
88歳のお祝いのことを何という？,米寿,喜寿,傘寿,米寿,米という漢字を分解すると八十八になることから。テーマカラーは濃黄色
名探偵コナンの黒の組織のコードネームに共通するものは？,星,お酒,色,お酒,「ジン」「ウォッカ」などがいます
コナン君が履いてる靴の名前は？,アガサ印のシューズ,キック力増強シューズ,脚力増強シューズ,キック力増強シューズ,電気と磁力で足のツボを刺激し、筋力を極限まで高める道具。 このシューズでキックしたボールに当たれば犯人はひとたまりもない。
ドラゴンボールで一粒食べれば体力が全回復する豆の名前は？,仙豆,大豆,泉豆,仙豆,猫の仙人カリン様が栽培する希少性の高い豆で、優れた回復力を持っています。
60歳は還暦。では、70歳はなに？,古希,傘寿,卒寿,古希,古来中国で「70年生きる人は古くから稀である」といわれていたことが由来。テーマカラーは紫
スマートフォンの「スマート」とはどういう意味？,近未来,痩せている,賢い,賢い,
日本の制度上、何歳から高齢者と定義している？,６０歳,６５歳,７５歳,６５歳,2024年現在、わが国では65～74歳を前期高齢者と定義しています
次のうち、県名と県庁所在地名が違う都道府県はどこ？,島根,鹿児島,岐阜,島根,島根県の県庁所在地は松江市です
オタマジャクシがカエルになることを何という？,進化,変態,変化,変態,
関ヶ原の戦いが起こった場所は現在の何県？,岐阜,島根,栃木,岐阜,
血液を作る体の器官は？,骨髄,肝臓,脾臓,骨髄,肝臓は主に毒素を解毒する臓器、脾臓は血液中の古くなった赤血球をこわすはたらきをする臓器です
タンポポを漢字で書くと？,蒲公英,菖蒲,躑躅,蒲公英,「菖蒲」しょうぶ「躑躅」つつじと読みます
地表の岩石が日射や水により次第に崩れていく現象を何と言う？,風化,劣化,砂漠化,風化,岩石や鉱物が大気や水にさらされ分解される現象を風化といいます。
流水によって地表を削り取る作用をなんという？,侵食,侵略,侵蝕,侵食,水に浸るとは限らないため侵食表記を使います
絶滅のおそれのある野生動物のリストは何という？,レッドリスト,ワシントン条約,京都議定書,レッドリスト,ワシントン条約は野生動物の国際取引規制条約、京都議定書は二酸化炭素の削減に関する約束です
幕藩体制を解体し近代国家と資本主義の成立をもたらした変革はどれ？,明治維新,武家諸法度,ポツダム宣言,明治維新,武家諸法度は徳川秀忠が制定した武士の規定です、ポツダム宣言は米英中ソが発表した無条件降伏を求める声明です
主に九州の和食料理で使われる「あごだし」あごとは？,トビウオ,タチウオ,イワシ,トビウオ,九州では「飛び魚」のことを「あご」と呼んでおり、乾燥させてだしに使用します。
「JPG」「PNG」といえば、主にどんな種類のファイルに使われる拡張子？,画像,音楽,テキスト,画像,他にも「.gif」や「.jpeg」などがあります
旧式携帯電話のことを指す「ガラケー」、「ガラ」の意味として正しいのは？,ガラクタ,ガラパゴス,ガラガラ,ガラパゴス,（ガラパゴス諸島の生物進化のように）周囲とは懸け離れた独自の進化をすること。高度で多機能であるが特殊化されているものについていう。
バドミントンのスマッシュの最高速度は次のどれ？,時速200km,時速300km,時速400km,時速400km,
